Sample	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
LVAD133_S3_R2_001_val_2				66.25512062095115	50.0	74.47248636720514	33.33333333333333	38644497.0
LVAD140_S4	88.53	33757895.0						
LVAD140_S4_	88.46	33402267.0						
LVAD140_S4_R1_001			1.1476617241682034					
LVAD140_S4_R1_001_val_1				76.04525658494877	49.0	74.19963942224936	25.0	37761620.0
LVAD140_S4_R2_001			2.1880457621229183					
LVAD140_S4_R2_001_val_2				67.1223650582302	49.0	74.05463547379588	25.0	37761620.0
LVAD141_S5	89.4	23197548.0						
LVAD141_S5_	89.34	22913792.0						
LVAD141_S5_R1_001			0.6188812433587556					
LVAD141_S5_R1_001_val_1				75.28747050917816	49.0	74.97264979099583	25.0	25647336.0
LVAD141_S5_R2_001			1.7927317313202271					
LVAD141_S5_R2_001_val_2				66.8721303691716	50.0	74.53705008582568	25.0	25647336.0
LVAD142_S6	89.25	32311969.0						
LVAD142_S6_	88.99	31943360.0						
LVAD142_S6_R1_001			0.45783451012664605					
LVAD142_S6_R1_001_val_1				76.4156694633924	48.0	74.97450681866106	25.0	35894657.0
LVAD142_S6_R2_001			1.7324606091111991					
LVAD142_S6_R2_001_val_2				67.9926661406891	50.0	74.49476689525129	25.0	35894657.0
LVAD153_S7	87.33	41817515.0						
LVAD153_S7_	87.09	41311901.0						
LVAD153_S7_R1_001			0.4628407241994769					
LVAD153_S7_R1_001_val_1				76.38564486266895	48.0	74.9760123408951	25.0	47437726.0
LVAD153_S7_R2_001			1.8454535415740885					
LVAD153_S7_R2_001_val_2				68.51876785781812	49.0	74.44125551043489	25.0	47437726.0
LVAD157_S8	86.9	29642425.0						
LVAD157_S8_	86.49	29217970.0						
LVAD157_S8_R1_001			0.46872299415121776					
LVAD157_S8_R1_001_val_1				73.21606209065172	49.0	74.97984473828218	25.0	33781154.0
LVAD157_S8_R2_001			1.9166960396835213					
LVAD157_S8_R2_001_val_2				64.16375686165915	50.0	74.41004898766928	25.0	33781154.0
